program_id,source_url,program_name_suffix,city,state,data_last_updated,accredited_training_length,required_training_length,affiliated_us_government,raw_ng_state_json,specialty_title,first_year_positions,interviews_conducted_last_year,avg_hours_on_duty_y1,pct_do,pct_img,pct_usmd,program_best_described_as,website,special_features_text,accepting_applications_2025_2026,accepting_applications_2026_2027,program_start_dates,participates_in_eras,visa_statuses_accepted
1403521292,https://freida.ama-assn.org/program/1403521292,NYU Grossman School of Medicine Program,New York,NY,2025-03-28T08:08:20+00:00,3.0,3.0,Not affiliated with US Government,,Internal Medicine,95.0,500.0,70.0,2.0,2.3,95.8,University-based,http://www.med.nyu.edu/medicine/education/residency-programs,All residents get a book fund and a conference fund for education-related expenses. The book fund replenishes every academic year. We also provide a global health elective fund.,True,True,['July'],True,['J-1 through ECFMG']
,https://freida.ama-assn.org/program/1402411169,Announcement banner,,,2024-11-15T19:50:32+00:00,,,,,,,,,,,,,,,,,,,
1403521301,https://freida.ama-assn.org/program/1403521301,Icahn School of Medicine at Mount Sinai/Morningside/West Program,New York,NY,2025-03-28T08:08:20+00:00,3.0,3.0,Not affiliated with US Government,,Internal Medicine,75.0,502.0,60.0,13.1,64.1,22.8,Community-based university affiliated,http://icahn.mssm.edu/education/residencies-fellowships/list/,Robust clinical exposure at two hospitals in Manhattan. Exceptional oncologic experience at Memorial Sloan Kettering Cancer Center. Three community based outpatient clinical training. Integrated with the Icahn School of Medicine at Mount Sinai.,False,True,['July'],True,"['J-1 through ECFMG', 'H-1B', 'F-1']"
1402421172,https://freida.ama-assn.org/program/1402421172,Mass General Brigham/Brigham and Women's Hospital Program,Boston,MA,2025-03-28T12:36:00+00:00,3.0,3.0,Not affiliated with US Government,,Internal Medicine,70.0,450.0,70.0,0.0,2.9,97.1,University-based,https://imacademics.brighamandwomens.org/,,False,True,"['June', 'July']",True,"['J-1 through ECFMG', 'H-1B', 'F-1']"
1404121380,https://freida.ama-assn.org/program/1404121380,University of Pennsylvania Health System Program,Philadelphia,PA,2025-03-28T08:08:20+00:00,3.0,3.0,Not affiliated with US Government,,Internal Medicine,70.0,362.0,65.0,0.2,1.4,98.4,University-based,http://www.uphs.upenn.edu/internal-medicine-residency/,"We are delighted to welcome trainees from dozens of medical schools spanning the nation and globe to our program. Our program features broad-based clinical training at varied inpatient and outpatient venues. Residents typically pursue independent scholarship, and enjoy a variety of wellness-themed activities. On annual surveys, residents highlight the spirit of camaraderie and level of departmental support as highlights of the program.",True,True,['June'],True,"['J-1 through ECFMG', 'H-1B', 'F-1']"
,https://freida.ama-assn.org/program/1402621208,Announcement banner,,,2024-11-15T19:50:32+00:00,,,,,,,,,,,,,,,,,,,
,https://freida.ama-assn.org/program/1405421434,Announcement banner,,,2024-11-15T19:50:32+00:00,,,,,,,,,,,,,,,,,,,
,https://freida.ama-assn.org/program/1404821419,Announcement banner,,,2024-11-15T19:50:32+00:00,,,,,,,,,,,,,,,,,,,
,https://freida.ama-assn.org/program/1400821085,Announcement banner,,,2024-11-15T19:50:32+00:00,,,,,,,,,,,,,,,,,,,
,https://freida.ama-assn.org/program/1401221105,Announcement banner,,,2024-11-15T19:50:32+00:00,,,,,,,,,,,,,,,,,,,
,https://freida.ama-assn.org/program/1404821422,Announcement banner,,,2024-11-15T19:50:32+00:00,,,,,,,,,,,,,,,,,,,
1402421162,https://freida.ama-assn.org/program/1402421162,Beth Israel Deaconess Medical Center Program,Boston,MA,2025-03-28T12:36:00+00:00,3.0,3.0,Not affiliated with US Government,,Internal Medicine,64.0,650.0,68.0,0.0,1.0,98.8,University-based,https://www.bidmc.org/imresidency,"At BIDMC we are deeply committed to medical education, and have designed a curriculum tailored to the diverse needs and career goals of each resident, helping them to thrive and become future internists, specialists, and academic leaders. In addition to our formal tracks, residents participate in a robust and innovative QI/PS curriculum, and with the help of outstanding mentors, a research course, and dedicated research time; the majority of the residents successfully complete research projects.",False,True,['June'],True,"['J-1 through ECFMG', 'H-1B', 'F-1']"
,https://freida.ama-assn.org/program/1400521064,Announcement banner,,,2024-11-15T19:50:32+00:00,,,,,,,,,,,,,,,,,,,
,https://freida.ama-assn.org/program/1402521187,Announcement banner,,,2024-11-15T19:50:32+00:00,,,,,,,,,,,,,,,,,,,
,https://freida.ama-assn.org/program/1402821215,Announcement banner,,,2024-11-15T19:50:32+00:00,,,,,,,,,,,,,,,,,,,
,https://freida.ama-assn.org/program/1402321160,Announcement banner,,,2024-11-15T19:50:32+00:00,,,,,,,,,,,,,,,,,,,
,https://freida.ama-assn.org/program/1402312159,Announcement banner,,,2024-11-15T19:50:32+00:00,,,,,,,,,,,,,,,,,,,
,https://freida.ama-assn.org/program/1400511046,Announcement banner,,,2024-11-15T19:50:32+00:00,,,,,,,,,,,,,,,,,,,
,https://freida.ama-assn.org/program/1404921427,Announcement banner,,,2024-11-15T19:50:32+00:00,,,,,,,,,,,,,,,,,,,
,https://freida.ama-assn.org/program/1400721073,Announcement banner,,,2024-11-15T19:50:32+00:00,,,,,,,,,,,,,,,,,,,
,https://freida.ama-assn.org/program/1403511304,Announcement banner,,,2024-11-15T19:50:32+00:00,,,,,,,,,,,,,,,,,,,
,https://freida.ama-assn.org/program/1403621320,Announcement banner,,,2024-11-15T19:50:32+00:00,,,,,,,,,,,,,,,,,,,
,https://freida.ama-assn.org/program/1403511261,Announcement banner,,,2024-11-15T19:50:32+00:00,,,,,,,,,,,,,,,,,,,
,https://freida.ama-assn.org/program/1403531288,Announcement banner,,,2024-11-15T19:50:32+00:00,,,,,,,,,,,,,,,,,,,
1403812339,https://freida.ama-assn.org/program/1403812339,Cleveland Clinic Foundation Program,Cleveland,OH,2025-03-28T08:08:20+00:00,3.0,3.0,Not affiliated with US Government,,Internal Medicine,55.0,600.0,64.0,17.0,29.2,53.8,Community-based university affiliated,https://my.clevelandclinic.org/departments/medicine/medical-professionals/,"The Cleveland Clinic Internal Medicine Residency Program cultivates internists who achieve distinction in clinical care, scholarship, leadership, collaboration, and commitment to lifelong learning within a supportive, innovative learning environment that fosters diversity and inclusion.",False,True,['July'],True,"['J-1 through ECFMG', 'H-1B', 'F-1']"
,https://freida.ama-assn.org/program/1403511264,Announcement banner,,,2024-11-15T19:50:32+00:00,,,,,,,,,,,,,,,,,,,
1403521305,https://freida.ama-assn.org/program/1403521305,SUNY Downstate Health Sciences University Program,Brooklyn,NY,2025-03-28T08:08:20+00:00,3.0,3.0,Not affiliated with US Government,,Internal Medicine,55.0,600.0,65.0,11.1,74.2,14.6,University-based,http://www.Downstate.edu,"Our mission is to train the next generation of scholarly compassionate physicians that care for and improve the health and the lives of our diverse communities, providing the highest quality patient-centered care that is both evidence-based and culturally tailored. Our vision is to become a magnet program that attracts high quality candidates to complete their training in Internal Medicine and its sub-specialties. - Please note that the information listed is subject to change without notice.",False,True,['July'],True,"['J-1 through ECFMG', 'F-1']"
1403521316,https://freida.ama-assn.org/program/1403521316,SUNY Upstate Medical University Program,Syracuse,NY,2025-03-28T08:08:20+00:00,3.0,3.0,Not affiliated with US Government,,Internal Medicine,55.0,350.0,65.0,8.7,74.3,17.1,University-based,http://www.upstate.edu/medresidency/prospective/,"Upstate's innovative internal medicine program allows residents to prepare for careers in primary health care, subspecialty training, academic medicine, and community health. Whatever your goals are, we will help you achieve them. We invite you to learn more about our training, our facilities, our city, and more importantly, the lives of the people who make this program an outstanding place for resident training.",False,True,"['June', 'July']",True,"['J-1 through ECFMG', 'H-1B', 'F-1']"
